,date,rate
732,10.10.2021,26.3314
733,09.10.2021,26.3314
734,08.10.2021,26.3314
735,07.10.2021,26.3503
736,06.10.2021,26.4244
737,05.10.2021,26.5722
738,04.10.2021,26.61
739,03.10.2021,26.6175
740,02.10.2021,26.6175
741,01.10.2021,26.6175
742,30.09.2021,26.576
743,29.09.2021,26.5698
744,28.09.2021,26.6556
745,27.09.2021,26.6422
746,26.09.2021,26.5272
747,25.09.2021,26.5272
748,24.09.2021,26.5272
749,23.09.2021,26.6714
750,22.09.2021,26.7081
751,21.09.2021,26.7072
752,20.09.2021,26.7028
753,19.09.2021,26.6672
754,18.09.2021,26.6672
755,17.09.2021,26.6672
756,16.09.2021,26.645
757,15.09.2021,26.6362
758,14.09.2021,26.692
759,13.09.2021,26.6782
760,12.09.2021,26.7264
761,11.09.2021,26.7264
762,10.09.2021,26.7264
763,09.09.2021,26.7452
764,08.09.2021,26.7317
765,07.09.2021,26.8102
766,06.09.2021,26.9298
767,05.09.2021,27.0247
768,04.09.2021,27.0247
769,03.09.2021,27.0247
770,02.09.2021,27.0029
771,01.09.2021,26.8928
772,31.08.2021,26.8601
773,30.08.2021,26.929
774,29.08.2021,26.929
775,28.08.2021,26.929
776,27.08.2021,26.7744
777,26.08.2021,26.7074
778,25.08.2021,26.6718
779,24.08.2021,26.6504
780,23.08.2021,26.6504
781,22.08.2021,26.6504
782,21.08.2021,26.6504
783,20.08.2021,26.6504
784,19.08.2021,26.6455
785,18.08.2021,26.6752
786,17.08.2021,26.6457
787,16.08.2021,26.6931
788,15.08.2021,26.7686
789,14.08.2021,26.7686
790,13.08.2021,26.7686
791,12.08.2021,26.8042
792,11.08.2021,26.7557
793,10.08.2021,26.8011
794,09.08.2021,26.8346
795,08.08.2021,26.9395
796,07.08.2021,26.9395
797,06.08.2021,26.9395
798,05.08.2021,26.9094
799,04.08.2021,26.8411
800,03.08.2021,26.8444
801,02.08.2021,26.8168
802,01.08.2021,26.8867
803,31.07.2021,26.8867
804,30.07.2021,26.8867
805,29.07.2021,26.8628
806,28.07.2021,26.906
807,27.07.2021,26.9805
808,26.07.2021,27.048
809,25.07.2021,27.1915
810,24.07.2021,27.1915
811,23.07.2021,27.1915
812,22.07.2021,27.2405
813,21.07.2021,27.2205
814,20.07.2021,27.2132
815,19.07.2021,27.2301
816,18.07.2021,27.2905
817,17.07.2021,27.2905
818,16.07.2021,27.2905
819,15.07.2021,27.3047
820,14.07.2021,27.3216
821,13.07.2021,27.2904
822,12.07.2021,27.3234
823,11.07.2021,27.2862
824,10.07.2021,27.2862
825,09.07.2021,27.2862
826,08.07.2021,27.2993
827,07.07.2021,27.2497
828,06.07.2021,27.2904
829,05.07.2021,27.4121
830,04.07.2021,27.3841
831,03.07.2021,27.3841
832,02.07.2021,27.3841
833,01.07.2021,27.2275
834,30.06.2021,27.1763
835,29.06.2021,27.3964
836,28.06.2021,27.4589
837,27.06.2021,27.4589
838,26.06.2021,27.4589
839,25.06.2021,27.4589
840,24.06.2021,27.2737
841,23.06.2021,27.305
842,22.06.2021,27.1935
843,21.06.2021,27.1712
844,20.06.2021,27.1712
845,19.06.2021,27.1712
846,18.06.2021,27.1712
847,17.06.2021,27.0275
848,16.06.2021,26.9258
849,15.06.2021,26.9957
850,14.06.2021,27.0404
851,13.06.2021,27.1068
852,12.06.2021,27.1068
853,11.06.2021,27.1068
854,10.06.2021,27.0906
855,09.06.2021,27.1764
856,08.06.2021,27.1923
857,07.06.2021,27.2914
858,06.06.2021,27.34
859,05.06.2021,27.34
860,04.06.2021,27.34
861,03.06.2021,27.3449
862,02.06.2021,27.4381
863,01.06.2021,27.4674
864,31.05.2021,27.5004
865,30.05.2021,27.526
866,29.05.2021,27.526
867,28.05.2021,27.526
868,27.05.2021,27.5461
869,26.05.2021,27.4553
870,25.05.2021,27.4281
871,24.05.2021,27.4572
872,23.05.2021,27.4665
873,22.05.2021,27.4665
874,21.05.2021,27.4665
875,20.05.2021,27.4166
876,19.05.2021,27.4368
877,18.05.2021,27.555
878,17.05.2021,27.6142
879,16.05.2021,27.6273
880,15.05.2021,27.6273
881,14.05.2021,27.6273
882,13.05.2021,27.6318
883,12.05.2021,27.6744
884,11.05.2021,27.7641
885,10.05.2021,27.7205
886,09.05.2021,27.7205
887,08.05.2021,27.7205
888,07.05.2021,27.7205
889,06.05.2021,27.7339
890,05.05.2021,27.733
891,04.05.2021,27.75
892,03.05.2021,27.75
893,02.05.2021,27.75
894,01.05.2021,27.75
895,30.04.2021,27.75
896,29.04.2021,27.7867
897,28.04.2021,27.7715
898,27.04.2021,27.8558
899,26.04.2021,27.9014
900,25.04.2021,28.0642
901,24.04.2021,28.0642
902,23.04.2021,28.0642
903,22.04.2021,28.0576
904,21.04.2021,28.0096
905,20.04.2021,28.0087
906,19.04.2021,27.9783
907,18.04.2021,27.9592
908,17.04.2021,27.9592
909,16.04.2021,27.9592
910,15.04.2021,27.9765
911,14.04.2021,28.0156
912,13.04.2021,27.9335
913,12.04.2021,27.9094
914,11.04.2021,27.9768
915,10.04.2021,27.9768
916,09.04.2021,27.9768
917,08.04.2021,27.8923
918,07.04.2021,27.8384
919,06.04.2021,27.939
920,05.04.2021,27.9555
921,04.04.2021,27.8324
922,03.04.2021,27.8324
923,02.04.2021,27.8324
924,01.04.2021,27.8226
925,31.03.2021,27.8852
926,30.03.2021,27.9694
927,29.03.2021,27.9679
928,28.03.2021,27.9698
929,27.03.2021,27.9698
930,26.03.2021,27.9698
